554674,o,12
508,o,1
46307,p,4
45211,p,3
6663,p,3
389,n,1
717408,p,27
86063,o,1
25919,p,4
27768,p,6
6247,p,1
3196,o,5
38634,p,1
998,o,4
31669,o,3
22168,p,3
6345,p,3
1825,o,6
37321,p,2
24367,n,1
16692,p,3
89,p,3
9101,o,4
776620,o,36
7794,o,6
12577,p,1
9666,o,9
417,p,6
18631,p,2
3832,p,6
6028,o,6
18055,p,1
33883,o,3
3819,o,22
5648,o,8
6227,p,1
6785,p,1
604163,p,5
14559,o,1
10790,p,3
770,p,11
1796,o,4
21992,n,1
5104,o,1
40763,o,1
5768,o,7
20886,p,2
7473,o,2
4648,p,1
4842,o,1
5401,o,1
739,p,1
2486,p,2
15686,p,1
5653,o,3
7517,p,6
15361,o,3
2896,o,2
20971,p,1
629475,p,12
5866,o,5
2083,p,4
3512,n,1
6784,n,1
2462,o,21
8189,p,1
39374,p,3
34073,o,3
8158,n,2
12440,p,2
6249,p,2
2002,o,2
43424,o,3
3884,p,19
9837,o,2
5793,o,7
43249,o,1
1582,n,1
6035,o,2
12210,o,1
26517,o,1
5512,p,2
16526,o,4
6907,p,8
2674,p,1
632977,n,3
13341,p,3
5668,o,1
10620,o,3
19735,p,8
3082,p,3
3596,n,2
4020,p,7
13033,n,1
19208,o,1
14216,o,4
45324,p,3
19472,o,10
3481,o,1
696998,n,3
44943,p,1
3925,p,1
77380,o,1
20409,p,1
3166,o,1
3868,o,11
4133,o,9
3286,o,3
9654,o,3
4282,o,1
39168,o,5
23528,p,1
22908,o,1
3394,p,1
44386,p,1
3159,o,4
4010,o,1
6856,n,1
21337,p,1
3416,p,2
4325,o,1
27544,p,1
43557,p,1
71108,p,3
39087,p,1
29375,o,24
676666,o,53
695,p,3
67935,p,3
5469,o,5
6366,n,1
4991,o,7
30133,p,3
228,o,10
2289,o,7
983622,p,23
10610,p,2
1526,p,4
68169,p,3
13895,o,4
972802,p,11
2292,o,3
4440,o,6
1211,o,2
5099,o,6
1283,o,10
24603,o,14
5478,o,6
7964,o,4
6750,p,1
3084,n,3
5657,p,2
11165,o,7
1256,o,6
258,o,6
19570,p,2
49794,p,3
25334,p,3
9636,n,1
11511,o,7
613,o,5
3917,p,1
11692,o,2
3285,o,11
94424,n,1
7233,p,1
7232,o,1
8838,o,1
55226,p,3
7041,o,1
11512,p,1
13723,o,2
35131,o,1
28770,o,1
13512,o,1
7717,p,3
12252,o,2
31326,o,1
2616,o,5
4632,o,3
3655,o,8
5334,p,2
3132,p,1
8425,p,1
15543,o,9
5894,o,1
3875,p,2
2830,o,1
8015,p,2
3858,p,3
43157,p,1
9431,p,7
80586,p,1
7480,p,8
11608,p,3
