2891,p,5
366,o,14
8313,p,5
14470,o,3
53750,o,4
16957,p,1
35328,o,1
5391,p,3
23917,p,1
5329,p,28
9386,p,1
2370,p,10
34849,o,2
17882,p,2
24181,o,1
22189,o,4
27109,o,12
11648,o,7
3284,o,34
11528,o,6
984,o,11
7120,o,14
15829,p,9
24418,o,23
9375,p,8
13377,p,1
5643,p,6
16841,p,1
6347,p,5
15077,p,3
3781,p,4
40997,p,3
13839,p,1
7917,o,48
4177,o,9
14262,p,10
7943,o,20
11729,o,14
10263,o,6
16377,o,1
6520,p,6
6119,o,24
9640,p,2
190804,p,4
13275,o,2
20077,n,3
5885,p,4
13730,o,67
95472,o,4
12914,o,4
4780,o,14
70668,o,2
6703,o,13
10869,o,31
10359,o,8
11943,o,4
11991,o,6
14954,p,1
1395,o,7
20207,o,8
30644,p,1
12704,p,4
33847,o,2
31888,p,1
103064,p,2
75843,o,1
25641,o,2
34440,p,1
100917,p,1
13856,o,40
18363,p,2
12213,p,1
61735,p,1
21224,o,1
13970,o,1
63978,o,2
18272,p,8
1253,o,25
2070,p,6
29973,o,8
22942,p,1
9360,p,1
7676,p,2
30640,p,2
4297,n,1
31934,p,1
13764,p,1
5286,o,11
8896,o,18
16295,p,5
23369,p,1
6496,o,7
24070,o,7
584,o,11
1864,o,6
13095,p,3
12216,n,1
20584,o,1
13878,n,1
17403,o,4
32455,o,1
44314,p,1
3516,p,1
8593,n,2
154361,o,11
26507,o,6
22914,p,3
7372,p,3
110438,p,1
734,p,1
14305,o,4
25458,o,2
8666,o,52
5912,o,44
10193,p,5
4829,p,6
35267,p,1
49962,o,1
36250,o,1
5860,o,6
299,p,4
95445,p,2
376,o,4
46070,o,1
6589,p,2
13069,o,10
95209,o,2
12249,o,2
9136,p,7
13106,p,2
12062,p,3
23768,p,1
13012,p,1
15501,o,1
33067,o,1
37560,p,6
185,p,9
2533,p,8
12347,p,5
7030,o,26
15806,o,37
12431,p,2
8429,p,1
7257,p,2
7852,o,2
22509,o,5
5893,o,30
4971,o,10
15033,o,20
3002,p,5
12258,p,2
13409,o,8
9436,p,4
37136,p,5
21154,p,1
5490,p,1
864,o,31
2694,o,13
10259,p,1
24628,o,8
16998,o,7
9429,p,11
22628,o,3
11879,p,4
38624,o,2
21447,p,3
12153,p,2
32629,p,1
4117,p,6
5618,p,13
1929,o,20
9817,o,11
23632,p,1
5181,o,4
178,p,5
12023,o,1
60187,o,2
10406,p,3
13817,o,8
8350,p,16
108621,o,2
4123,p,3
12404,o,30
1929,p,14
7113,p,4
175422,o,14
2703,p,4
50294,o,5
18212,o,41
25254,o,3
1305,p,10
35709,p,3
6908,o,2
60348,o,2
42413,p,1
93813,p,1
31445,o,2
2609,o,24
1080,p,3
7693,o,33
1890,p,5
13004,p,1
6108,p,4
1596,p,7
19152,p,1
18899,p,5
1272,o,10
12630,n,1
10574,o,50
170702,o,3
3382,o,12
44672,o,1
19516,o,67
4540,o,26
9777,p,3
5299,o,16
796,p,12
12808,p,1
14046,p,2
3796,p,7
31405,o,13
17690,p,1
50131,o,4
11656,p,1
18457,o,1
13657,p,6
4735,p,11
24348,o,30
1861,p,5
13394,o,3
4997,p,2
72733,p,1
29398,o,8
15245,p,1
10834,o,4
50020,o,1
11007,p,1
11711,p,1
23073,p,2
9211,o,30
14357,o,15
184189,o,23
1040,p,6
37077,o,1
23835,o,4
11838,p,1
7123,o,5
16454,p,1
12892,p,1
108164,o,2
15814,o,6
8791,p,4
11004,o,5
31934,o,1
37599,p,1
1321,p,8
38925,p,1
6396,p,15
4451,o,39
507,o,20
4845,o,23
6272,p,2
9524,p,8
75391,o,1
6013,n,1
31179,o,2
13333,o,4
4156,p,1
12463,p,5
157474,o,11
12313,p,1
5980,o,8
6932,o,5
30062,o,5
411,p,6
8209,p,1
25190,o,1
12405,o,7
5803,o,21
11388,p,1
7320,p,5
36569,o,1
90087,o,2
30779,o,1
7352,o,18
6651,p,6
10808,o,10
15066,o,12
20132,o,3
8052,o,5
20662,o,6
4089,p,14
45002,o,1
5992,p,4
33454,p,1
7694,p,21
1045,o,27
3566,p,5
44785,o,2
12911,o,8
7347,n,1
18517,o,3
2396,o,19
12475,p,2
6598,o,15
61166,o,6
7316,o,4
9302,o,53
3432,n,1
9495,p,2
24983,p,1
1172,o,7
34207,p,1
34740,o,12
7651,p,3
15951,o,28
7250,p,1
10766,p,5
4832,p,23
7586,p,17
12315,o,32
4537,o,15
17729,o,4
27367,o,1
6480,p,6
34739,o,3
18901,n,2
14807,o,10
3592,o,3
32090,o,1
6767,p,7
201,p,2
77,p,4
10805,p,1
9911,p,1
5176,o,6
316,n,3
39999,p,1
6840,o,7
21484,o,1
11821,o,8
30773,o,18
11153,o,34
6293,o,26
31143,o,14
6524,p,13
8616,p,7
4671,o,10
21314,p,1
1534,p,14
8056,p,6
18324,p,2
53751,o,8
6995,n,1
34522,o,29
16754,o,3
19614,o,8
53,p,6
2612,o,4
26124,o,42
159476,o,11
1525,p,12
19832,o,3
14770,o,2
17007,p,1
1283,p,2
159857,p,1
8991,p,2
899,p,5
29513,p,2
12247,p,1
4365,o,17
96907,o,1
27705,o,5
14377,o,12
109684,p,1
33481,o,1
12831,o,2
13300,p,1
17889,o,1
15996,p,1
81951,o,2
3977,p,3
5439,p,7
5825,p,3
25624,o,14
1480,o,2
45276,o,5
15668,n,4
49789,p,8
12293,p,1
296,p,10
25294,p,2
2492,p,9
26569,o,1
19359,o,7
11939,o,3
24091,o,4
14843,o,2
81339,o,2
35833,o,2
496,o,72
30922,o,6
12286,o,4
21440,o,1
24670,o,7
14802,o,5
19014,o,2
19141,p,2
29460,o,1
16624,o,4
7297,o,18
10532,p,7
27151,o,1
10017,o,13
570,p,12
2119,o,12
46074,p,1
5056,p,2
21037,o,9
16733,o,3
7363,o,1
171111,o,6
21632,o,29
17378,o,3
11944,o,47
1729,p,8
19481,p,1
2483,p,4
17868,o,1
52791,p,1
28594,o,15
20445,p,4
32798,o,5
3877,p,4
25761,p,2
73486,o,2
75213,p,1
6943,o,6
27632,p,1
59873,o,15
9125,o,19
29303,o,6
30829,o,2
18508,p,3
9630,p,3
6470,p,3
56960,p,1
380,n,5
467,p,18
14713,p,4
24925,p,2
7796,o,13
13796,o,14
