21209,9,9.0,9,9,9.0,9
21223,7,7.0,7,7,7.0,7
21342,5,5.0,5,5,5.0,5
21899,6,6.0,6,6,6.0,6
21965,3,3.0,3,3,3.0,3
22165,7,7.0,7,7,7.0,7
22201,3,3.0,3,3,3.0,3
22245,5,5.0,5,5,5.0,5
22429,5,5.0,5,5,5.0,5
23019,4,4.0,4,4,4.0,4
23116,5,5.0,5,5,5.0,5
23492,2,2.0,2,2,2.0,2
23506,4,4.0,4,4,4.0,4
23766,8,8.0,8,8,8.0,8
25084,4,4.0,4,4,4.0,4
25207,1,1.0,1,1,1.0,1
25479,3,3.0,3,3,3.0,3
25649,6,6.0,6,6,6.0,6
25826,1,1.0,1,1,1.0,1
26486,3,3.0,3,3,3.0,3
26543,5,5.0,5,5,5.0,5
27255,7,7.0,7,7,7.0,7
27469,1,1.0,1,1,1.0,1
27563,3,3.0,3,3,3.0,3
27651,7,7.0,7,7,7.0,7
27919,6,6.0,6,6,6.0,6
28078,4,4.0,4,4,4.0,4
28242,2,2.0,2,2,2.0,2
28728,13,13.0,13,13,13.0,13
28762,7,7.0,7,7,7.0,7
29018,5,5.0,5,5,5.0,5
29089,3,3.0,3,3,3.0,3
29841,1,1.0,1,1,1.0,1
30025,5,5.0,5,5,5.0,5
30421,2,2.0,2,2,2.0,2
30428,1,1.0,1,1,1.0,1
30562,4,4.0,4,4,4.0,4
30928,4,4.0,4,4,4.0,4
31156,1,1.0,1,1,1.0,1
31703,1,1.0,1,1,1.0,1
31762,4,4.0,4,4,4.0,4
32098,10,10.0,10,10,10.0,10
32571,3,3.0,3,3,3.0,3
32667,4,4.0,4,4,4.0,4
32912,2,2.0,2,2,2.0,2
32954,5,5.0,5,5,5.0,5
33013,2,2.0,2,2,2.0,2
33209,5,5.0,5,5,5.0,5
33760,3,3.0,3,3,3.0,3
33862,4,4.0,4,4,4.0,4
34340,4,4.0,4,4,4.0,4
34821,1,1.0,1,1,1.0,1
35148,1,1.0,1,1,1.0,1
35253,3,3.0,3,3,3.0,3
35323,5,5.0,5,5,5.0,5
35484,1,1.0,1,1,1.0,1
36103,1,1.0,1,1,1.0,1
37098,1,1.0,1,1,1.0,1
37261,7,7.0,7,7,7.0,7
37282,7,7.0,7,7,7.0,7
37310,2,2.0,2,2,2.0,2
37521,1,1.0,1,1,1.0,1
37884,6,6.0,6,6,6.0,6
38287,3,3.0,3,3,3.0,3
38510,4,4.0,4,4,4.0,4
38543,1,1.0,1,1,1.0,1
38878,5,5.0,5,5,5.0,5
