7121,9,5
7583,8,1
7635,2,0
7664,16,0
7679,29,2
7847,44,0
8330,2,3
8636,21,2
8872,8,0
9068,21,2
9632,12,0
9691,27,0
9712,37,19
9793,4,1
10014,6,0
10573,2,13
10627,6,0
10828,9,1
11243,15,0
11988,9,0
13509,26,4
13659,21,2
13832,4,1
14064,1,0
14067,22,0
14178,13,0
14215,17,0
14242,13,0
14562,10,0
15133,9,0
15559,38,5
15689,60,0
15894,6,0
16100,14,0
16499,3,0
16675,5,1
17061,3,0
17111,1,2
17135,3,0
17201,3,0
17558,4,0
17647,9,0
17814,34,0
18957,4,0
19067,2,3
19479,6,0
19483,19,0
20211,1,0
20444,2,0
20977,12,0
21138,17,0
21417,1,0
21653,10,0
22334,5,0
22808,1,0
23138,5,0
23143,3,0
24352,3,0
24630,4,0
25582,1,0
25759,18,0
25966,3,0
27460,5,0
27693,10,0
28555,10,0
29366,17,0
29649,4,0
29737,1,0
29764,3,0
29969,2,0
30286,6,0
31102,5,0
31159,1,0
31468,3,0
31832,3,0
32204,2,0
34374,9,0
34383,1,0
34408,3,0
34832,6,0
34978,1,0
36399,2,0
36595,2,0
39509,8,0
39558,1,0
40340,15,0
41372,1,0
42026,3,0
42903,1,0
43795,3,0
43796,3,0
45549,7,0
46054,2,0
47229,11,0
47416,4,0
52003,3,0
53734,5,0
54251,7,1
54655,6,0
55282,4,0
55715,8,0
55752,1,0
56706,2,0
56902,6,0
57641,2,0
58250,6,0
58479,8,0
63948,2,0
65121,4,0
68435,3,0
69617,3,0
70400,2,0
71799,5,0
73379,1,0
89352,4,0
97156,3,0
103583,2,0
108904,3,0
146305,11,0
161882,11,0
164022,11,0
167000,14,0
243,34,0
278,17,4
367,45,6
442,44,1
705,10,7
720,31,26
1175,34,0
1202,44,6
1463,25,10
1532,13,10
1690,27,1
1919,11,9
1936,16,0
2030,11,9
2371,11,22
2520,23,7
2598,31,23
2797,39,16
2944,18,10
3034,28,6
3120,29,8
3452,10,4
3847,17,1
3866,29,4
4072,20,0
4191,5,3
4509,3,31
4519,36,0
5572,8,7
5850,21,2
6230,21,0
6287,3,1
6806,14,5
6879,15,10
6885,24,10
6905,41,0
6911,16,0
7146,12,0
7303,6,3
7424,20,20
7543,17,3
7595,20,6
7626,8,7
8509,14,0
8611,3,1
8791,9,4
8887,21,0
8955,3,0
9686,2,2
9775,11,0
9887,9,2
10004,2,0
10178,25,0
10205,12,0
10433,16,0
10448,13,3
10779,14,4
10913,6,1
10923,2,0
11662,2,0
11842,17,0
12402,18,0
12472,6,0
13035,32,1
13527,3,0
13764,3,0
13907,6,0
14181,3,1
14267,3,3
14626,29,0
15198,3,0
