834151,5,14,8,6,16
337166486,4,8,4,4,5
370482057,6,153,3,150,23
292201997,32,29,22,7,2
5731362,1,95,5,90,1
341627788,1,35,10,25,2
341627788,1,35,10,25,2
330934912,14,18,4,14,21
3211224,58,68,6,62,82
310578883,1,13,2,11,97
30693921,1,124,21,103,1
448796,6,13,3,10,4
12931073,2,358,14,344,115
1358416,5,50,21,29,3
2014391,30,16,11,5,5
5035970,3,45,5,40,2
70461057,9,13,12,1,8
124537532,16,40,1,39,8
177191899,11,2,1,1,61
20754499,63,9,3,6,18
32940222,77,20,2,18,4
32940222,77,20,2,18,4
285497228,16,149,9,140,7
344052684,1,9,1,8,17
451758,56,73,50,23,51
134322404,4,48,2,46,42
134322404,4,48,2,46,42
187252695,3,12,1,11,3
357832317,11,17,2,15,33
5134744,12,36,10,26,7
24477796,3,24,6,18,2
110320658,10,10,2,8,7
170361461,4,45,38,7,524
281611758,3,3,1,2,1
281611758,3,3,1,2,1
343599941,16,54,49,5,16
22788997,1,21,2,19,7
10331297,19,66,6,60,53
368107,49,66,53,13,7
20800512,18,193,22,171,13
29588610,1,54,13,41,4
151045377,1,85,6,79,9
475146,18,338,134,204,1
583440,1,6,1,5,1
2992020,8,287,3,284,32
2992020,8,287,3,284,32
4208235,9,91,14,77,147
168131168,2,37,3,34,11
16475813,6,8,5,3,1
368196965,1,41,3,38,1
368196965,1,41,3,38,1
299201595,10,60,58,2,23
189497,1,61,18,43,2
154758709,1,7,1,6,16
167972152,11,35,8,27,12
167972152,11,35,8,27,12
328927671,8,39,23,16,1
5182581,1,8,4,4,9
12982578,1,35,14,21,3
168432203,13,77,25,52,20
182077,14,50,38,12,12
31623346,4,28,26,2,13
145559615,1,40,39,1,15
184959837,4,47,6,41,9
353212419,1,28,8,20,25
353212419,1,28,8,20,25
10125489,70,296,31,265,458
67844686,1,81,13,68,99
279871341,2,3,1,2,43
186825,71,93,53,40,224
126433854,3,77,2,75,3
145194781,3,18,1,17,27
145194781,3,18,1,17,27
73598659,1,56,6,50,32
120490126,1,191,5,186,35
120490126,1,191,5,186,35
239357328,2,28,2,26,5
8983351,3,42,2,40,1
54625111,4,39,10,29,5
367360538,3,86,27,59,6
1012037,8,274,94,180,38
1316853,4,34,29,5,14
12925010,1,92,15,77,8
122271729,1,548,6,542,17
341209778,1,36,15,21,30
341209778,1,36,15,21,30
215337222,87,77,54,23,17
318093580,1,24,2,22,94
